Country Name,Title,Pub Date,DescriptionLink
Yemen,"Yemen's Huthi rebels seek legitimacy with Israel attacks, analysts say - FRANCE 24 English","Fri, 10 Nov 2023 16:57:06 GMT",https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lbi9saXZlLW5ld3MvMjAyMzExMTAteWVtZW4tcy1odXRoaS1yZWJlbHMtc2Vlay1sZWdpdGltYWN5LXdpdGgtaXNyYWVsLWF0dGFja3MtYW5hbHlzdHMtc2F50gEA?oc=5
Yemen,"Dozens of migrants are missing after a boat capsized off Yemen, officials say - ABC News","Mon, 13 Nov 2023 11:36:20 GMT",https://news.google.com/rss/articles/CBMibmh0dHBzOi8vYWJjbmV3cy5nby5jb20vSW50ZXJuYXRpb25hbC93aXJlU3RvcnkvZG96ZW5zLW1pZ3JhbnRzLW1pc3NpbmctYWZ0ZXItYm9hdC1jYXBzaXplZC1vZmYteWVtZW4tMTA0ODQwOTgx0gFyaHR0cHM6Ly9hYmNuZXdzLmdvLmNvbS9hbXAvSW50ZXJuYXRpb25hbC93aXJlU3RvcnkvZG96ZW5zLW1pZ3JhbnRzLW1pc3NpbmctYWZ0ZXItYm9hdC1jYXBzaXplZC1vZmYteWVtZW4tMTA0ODQwOTgx?oc=5
Yemen,What Are the Missiles the Houthis Have Fired at Israel? - Forbes,"Fri, 10 Nov 2023 17:30:45 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmZvcmJlcy5jb20vc2l0ZXMvZXJpY3RlZ2xlci8yMDIzLzExLzEwL3doYXQtYXJlLXRoZS1taXNzaWxlcy10aGUtaG91dGhpcy1oYXZlLWZpcmVkLWF0LWlzcmFlbC_SAW5odHRwczovL3d3dy5mb3JiZXMuY29tL3NpdGVzL2VyaWN0ZWdsZXIvMjAyMy8xMS8xMC93aGF0LWFyZS10aGUtbWlzc2lsZXMtdGhlLWhvdXRoaXMtaGF2ZS1maXJlZC1hdC1pc3JhZWwvYW1wLw?oc=5
Yemen,Saudi initiative clears 637 Houthi mines in Yemen in a week - Arab News,"Mon, 13 Nov 2023 11:11:13 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmFyYWJuZXdzLmNvbS9ub2RlLzI0MDc5MjYvc2F1ZGktYXJhYmlh0gEA?oc=5
Yemen,How should Israel handle the Houthi attacks from Yemen? - opinion - The Jerusalem Post,"Sat, 11 Nov 2023 20:51:00 GMT",https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3Lmpwb3N0LmNvbS9vcGluaW9uL2FydGljbGUtNzcyNTU20gEA?oc=5
Yemen,Internet collapses in Yemen amid uptick in Houthi attacks on Israel - Al-Monitor,"Fri, 10 Nov 2023 17:35:50 GMT",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmFsLW1vbml0b3IuY29tL29yaWdpbmFscy8yMDIzLzExL2ludGVybmV0LWNvbGxhcHNlcy15ZW1lbi1hbWlkLXVwdGljay1ob3V0aGktYXR0YWNrcy1pc3JhZWzSAQA?oc=5
Yemen,Yemen says attacks on Israel will persist for as long as siege on Gaza continues - The Cradle,"Fri, 10 Nov 2023 18:54:17 GMT",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vbmV3LnRoZWNyYWRsZS5jby9hcnRpY2xlcy95ZW1lbi1zYXlzLWF0dGFja3Mtb24taXNyYWVsLXdpbGwtcGVyc2lzdC1mb3ItYXMtbG9uZy1hcy1zaWVnZS1vbi1nYXphLWNvbnRpbnVlc9IBAA?oc=5
Yemen,Arrow 3: Israel used a weapon it never has before to neutralise an incoming missile - IndiaTimes,"Sat, 11 Nov 2023 15:06:00 GMT",https://news.google.com/rss/articles/CBMipQFodHRwczovL20udGltZXNvZmluZGlhLmNvbS93b3JsZC9taWRkbGUtZWFzdC9pbi1hLWZpcnN0LWlzcmFlbC1jb25maXJtcy11c2luZy1hcnJvdy0zLW1pc3NpbGUtaW50ZXJjZXB0b3ItYWdhaW5zdC1pcmFuLWJhY2tlZC1ob3V0aGktcmViZWxzL2FydGljbGVzaG93LzEwNTE1MzIwNC5jbXPSAakBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vd29ybGQvbWlkZGxlLWVhc3QvaW4tYS1maXJzdC1pc3JhZWwtY29uZmlybXMtdXNpbmctYXJyb3ctMy1taXNzaWxlLWludGVyY2VwdG9yLWFnYWluc3QtaXJhbi1iYWNrZWQtaG91dGhpLXJlYmVscy9hbXBfYXJ0aWNsZXNob3cvMTA1MTUzMjA0LmNtcw?oc=5
Yemen,"KSrelief, UN launch new food project in 5 Yemeni provinces - Arab News","Mon, 13 Nov 2023 10:07:40 GMT",https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmFyYWJuZXdzLmNvbS9ub2RlLzI0MDc4ODYvc2F1ZGktYXJhYmlh0gEA?oc=5
Yemen,Why are the Houthis attacking Israel? - opinion - The Jerusalem Post,"Sat, 11 Nov 2023 20:54:00 GMT",https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3Lmpwb3N0LmNvbS9vcGluaW9uL2FydGljbGUtNzcyNTY00gEA?oc=5
